date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:36	1055/1055	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2014:53:36%20GMT	https://www.novecore.com/robots.txt		(from )
17:53:36	37348/37348	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2019:53:18%20GMT	https://www.novecore.com/	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/index.html	(from )
17:53:36	7751/7751	---M-Z	200	added ('OK')	application/javascript	etag:%223a6891313dbd92aa06bb6be63d6df69f%22	https://www.novecore.com/cdn-cgi/apps/head/rNCF8J11PyqXRYLNYDXQ1nY0Srs.js	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cdn-cgi/apps/head/rNCF8J11PyqXRYLNYDXQ1nY0Srs.js	(from https://www.novecore.com/)
17:53:37	183899/183899	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2019:53:19%20GMT	https://www.novecore.com/css/novecore.css	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/css/novecore.css	(from https://www.novecore.com/)
17:53:37	42164/42164	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2025%20Jun%202022%2014:53:37%20GMT	https://www.novecore.com/cdn-cgi/challenge-platform/h/b/scripts/invisible.js?ts=1656158400	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cdn-cgi/challenge-platform/h/b/scripts/invisibleec93.js	(from https://www.novecore.com/)
17:53:37	2141/2141	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:21%20GMT	https://www.novecore.com/img/apple-music.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/apple-music.svg	(from https://www.novecore.com/)
17:53:37	3614/3614	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/deezer.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/deezer.svg	(from https://www.novecore.com/)
17:53:37	5971/5971	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:25%20GMT	https://www.novecore.com/img/amazon-music.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/amazon-music.svg	(from https://www.novecore.com/)
17:53:38	7530/7530	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:18%20GMT	https://www.novecore.com/img/soundcloud.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/soundcloud.svg	(from https://www.novecore.com/)
17:53:38	2945/2945	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:24%20GMT	https://www.novecore.com/img/youtube-music.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/youtube-music.svg	(from https://www.novecore.com/)
17:53:38	2929/2929	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:25%20GMT	https://www.novecore.com/img/pandora.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/pandora.svg	(from https://www.novecore.com/)
17:53:38	41166/41166	---M--	200	added ('OK')	image/webp	date:Wed,%2008%20Jun%202022%2019:53:23%20GMT	https://www.novecore.com/img/collage-1.webp	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/collage-1.webp	(from https://www.novecore.com/)
17:53:39	27064/27064	---M--	200	added ('OK')	image/webp	date:Wed,%2008%20Jun%202022%2019:53:24%20GMT	https://www.novecore.com/img/collage-2.webp	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/collage-2.webp	(from https://www.novecore.com/)
17:53:39	2143/2143	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:21%20GMT	https://www.novecore.com/img/insights.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/insights.svg	(from https://www.novecore.com/)
17:53:39	1540/1540	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:18%20GMT	https://www.novecore.com/img/fast-distribution.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/fast-distribution.svg	(from https://www.novecore.com/)
17:53:39	1719/1719	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:24%20GMT	https://www.novecore.com/img/regular-payments.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/regular-payments.svg	(from https://www.novecore.com/)
17:53:40	1861/1861	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/copyright-protection.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/copyright-protection.svg	(from https://www.novecore.com/)
17:53:40	1578/1578	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/vevo.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/vevo.svg	(from https://www.novecore.com/)
17:53:40	41110/41110	---M--	200	added ('OK')	image/webp	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/dashboard-dark.webp	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/dashboard-dark.webp	(from https://www.novecore.com/)
17:53:40	44190/44190	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2019:53:23%20GMT	https://www.novecore.com/img/artist-2.jpg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/artist-2.jpg	(from https://www.novecore.com/)
17:53:41	19150/19150	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/artist-1.jpg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/artist-1.jpg	(from https://www.novecore.com/)
17:53:41	11033/11033	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2019:53:24%20GMT	https://www.novecore.com/img/artist-3.jpg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/artist-3.jpg	(from https://www.novecore.com/)
17:53:41	45112/45112	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2019:53:25%20GMT	https://www.novecore.com/img/artist-4.jpg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/artist-4.jpg	(from https://www.novecore.com/)
17:53:41	30271/30271	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2019:53:18%20GMT	https://www.novecore.com/img/artist-5.jpg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/artist-5.jpg	(from https://www.novecore.com/)
17:53:41	31418/31418	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2019:53:18%20GMT	https://www.novecore.com/img/artist-6.jpg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/artist-6.jpg	(from https://www.novecore.com/)
17:53:42	617600/617600	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/js/three.min.js	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/js/three.min.js	(from https://www.novecore.com/)
17:53:42	26940/26940	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/tos.html	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/tos.html	(from https://www.novecore.com/)
17:53:43	24069/24069	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2019:53:21%20GMT	https://www.novecore.com/privacy.html	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/privacy.html	(from https://www.novecore.com/)
17:53:43	11207/11207	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2019:53:23%20GMT	https://www.novecore.com/cookies.html	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cookies.html	(from https://www.novecore.com/)
17:53:43	398/398	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/fb-logo.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/fb-logo.svg	(from https://www.novecore.com/)
17:53:43	3043/3043	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/ig-logo.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/ig-logo.svg	(from https://www.novecore.com/)
17:53:44	1141/1141	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:25%20GMT	https://www.novecore.com/img/tw-logo.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/tw-logo.svg	(from https://www.novecore.com/)
17:53:44	575/575	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:19%20GMT	https://www.novecore.com/img/yt-logo.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/yt-logo.svg	(from https://www.novecore.com/)
17:53:44	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Benim%20Web%20Sitem/deneme/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.novecore.com/)
17:53:45	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b04c56-302c%22	https://www.novecore.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.novecore.com/)
17:53:45	254/254	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:21%20GMT	https://www.novecore.com/img/navbar-toggle.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/navbar-toggle.svg	(from https://www.novecore.com/css/novecore.css)
17:53:45	1261/1261	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/play.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/play.svg	(from https://www.novecore.com/css/novecore.css)
17:53:45	20514/20514	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/spotify-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/spotify-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:46	30275/30275	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:19%20GMT	https://www.novecore.com/img/soundcloud-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/soundcloud-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:46	16796/16796	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/deezer-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/deezer-textwall.svg	(from https://www.novecore.com/css/novecore.css)
